movietitle;gross;budget;duration;titleyear;directorfl;actor1fl;actor2fl;actor3fl;castfl;facenumber_in_poster;genre
An American Carol;7001720;12000000;83;2008;119;885;816;633;2907;2;Comedy
An Everlasting Piece;75078;14000000;103;2000;272;736;450;70;1403;4;Comedy
An Unfinished Life;8535575;30000000;108;2005;529;11000;329;83;11519;3;Drama
Analyze That;32122249;60000000;96;2002;11000;22000;394;236;22889;1;Comedy
Anchorman 2: The Legend Continues;2175312;50000000;143;2013;285;11000;8000;7000;28176;2;Comedy
Anchorman: The Legend of Ron Burgundy;84136909;26000000;98;2004;285;640000;8000;7000;656730;5;Comedy
Angel Eyes;24044532;38000000;102;2001;43;308;285;280;1440;0;Drama
Angels & Demons;133375846;150000000;146;2009;2000;15000;745;294;16948;2;Terror
Annabelle;84263837;6500000;99;2014;40;1000;421;300;2323;0;Terror
Antwone Fisher;21078145;12500000;117;2002;18000;18000;638;543;20456;0;Drama
Anything Else;3203044;18000000;108;2003;11000;11000;944;922;14843;2;Comedy
Aquamarine;18595716;12000000;104;2006;20;836;826;717;3963;3;Comedy
Arnolds Park;23616;600000;103;2007;0;23;20;20;85;4;Terror
"As Above; So Below";21197315;5000000;93;2014;66;1000;200;161;1410;0;Terror
August Rush;31655091;30000000;114;2007;59;49000;702;403;50927;0;Drama
August: Osage County;37738400;25000000;121;2013;53;19000;11000;8000;39690;3;Drama
Auto Focus;2062066;7000000;105;2002;261;783;658;617;2684;3;Drama
Autumn in New York;37752931;40000000;103;2000;643;24000;1000;586;26938;2;Drama
Avatar;760505847;237000000;178;2009;0;1000;936;855;4834;0;Action
Avengers: Age of Ultron;458991599;250000000;141;2015;0;26000;21000;19000;92000;4;Action
Awake;14373825;8600000;84;2007;8;4000;922;896;6954;0;Terror
Baby Mama;60269340;30000000;99;2008;5;2000;1000;966;6930;2;Comedy
Bachelorette;418268;3000000;87;2012;21;4000;3000;416;8353;3;Comedy
Bad Grandpa;101978840;15000000;102;2013;79;925;38;27;1018;0;Comedy
Bad Lieutenant: Port of Call New Orleans;1697956;20000000;122;2009;0;12000;463;407;13809;2;Drama
Bad Moms;55461307;20000000;100;2016;24;15000;1000;851;18786;9;Comedy
Bad Teacher;100292856;20000000;97;2011;52;3000;957;384;5547;0;Comedy
Baggage Claim;21564616;8500000;96;2013;68;3000;1000;1000;8097;9;Comedy
Batman Begins;205343774;150000000;128;2005;22000;23000;14000;11000;59558;0;Action
Batman v Superman: Dawn of Justice;330249062;250000000;183;2016;0;15000;4000;2000;24450;0;Action
Battle Los Angeles;83552429;70000000;116;2011;473;833;697;464;4001;0;Action
Battle of the Year;8888355;20000000;110;2013;9;997;941;826;3177;19;Drama
Battlefield Earth;21471685;44000000;119;2000;64;743;117;41;971;0;Action
Be Cool;55808744;53000000;118;2005;473;12000;1000;680;15889;4;Comedy
Beastly;27854896;17000000;86;2011;33;15000;976;583;17396;1;Drama
Beasts of the Southern Wild;12784397;1800000;93;2012;188;2000;458;168;2658;0;Drama
Beautiful Creatures;19445217;60000000;124;2013;98;1000;852;592;3580;7;Drama
Bedazzled;37879996;48000000;93;2000;11000;3000;575;484;5390;2;Comedy
Bedtime Stories;109993847;80000000;99;2008;163;11000;869;495;12831;0;Comedy
Beer League;475000;2800000;86;2006;3;833;549;327;2753;2;Comedy
Beerfest;19179969;17500000;110;2006;422;33000;459;422;35345;2;Comedy
Before Midnight;8114507;3000000;109;2013;0;140;63;48;328;1;Drama
Before Sunset;5792822;2700000;80;2004;0;50;8;3;65;0;Drama
Begin Again;16168741;8000000;104;2013;109;480;12;7;517;1;Drama
Bella;8108247;3300000;91;2006;38;625;464;377;2747;0;Drama
Best in Show;18621249;6000000;90;2000;378;957;925;658;4611;9;Comedy
Beyond the Lights;14612840;7000000;116;2014;107;893;664;658;3110;1;Drama
Beyond the Sea;6144806;23000000;118;2004;18000;18000;5000;286;23689;1;Drama
Big Eyes;14479776;10000000;106;2014;13000;11000;430;309;12418;3;Drama
Big Miracle;20113965;40000000;107;2012;42;875;596;171;1702;3;Drama
Big Momma's House 2;70163652;40000000;99;2006;14;17000;826;633;19334;0;Comedy
Black Christmas;16235293;9000000;94;2006;17;607;318;179;1611;0;Terror
Black Hawk Down;108638745;92000000;152;2001;0;2000;820;557;4270;0;Drama
Black Mass;62563543;53000000;123;2015;108;40000;19000;3000;63769;7;Drama
Black Nativity;7017178;17500000;93;2013;148;549;269;170;1373;5;Drama
Black or White;21569041;9000000;121;2014;57;1000;837;664;3745;2;Drama
Black Snake Moan;9396487;15000000;116;2006;153;3000;788;539;5012;0;Drama
Blades of Glory;118153533;61000000;93;2007;8;8000;1000;970;13232;2;Comedy
Blended;46280507;40000000;117;2014;153;35000;11000;734;49743;0;Comedy
Blonde Ambition;5561;10000000;93;2007;7;906;848;611;4725;1;Comedy
Blow;52937130;30000000;124;2001;47;40000;1000;877;43453;1;Drama
Blue Car;464126;1000000;88;2002;22;638;400;275;1641;0;Drama
Blue Crush;40118420;30000000;104;2002;134;585;495;64;1165;3;Drama
Blue Jasmine;33404871;18000000;98;2013;11000;594;268;218;1353;1;Drama
Blue Valentine;9701559;3500000;112;2010;310;33000;2000;616;35941;0;Drama
Boat Trip;8586376;20000000;97;2002;2;890;852;461;3161;4;Comedy
Bobby;11204499;14000000;112;2006;0;12000;593;383;13528;0;Drama
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;128505958;18000000;82;2006;119;332;165;6;505;1;Comedy
Born to Fly: Elizabeth Streb vs, Gravity;21199;500000;82;2014;0;0;0;0;0;1;Action
Boyhood;25359200;4000000;165;2014;0;230;193;127;673;0;Drama
Boynton Beach Club;3123749;1500000;105;2005;39;267;225;183;1231;8;Comedy
Brüno;59992760;42000000;81;2009;119;468;442;412;2134;1;Comedy
Bride Wars;58715510;30000000;89;2009;56;11000;826;545;13794;2;Comedy
Bridesmaids;169076745;32500000;131;2011;176;722;655;460;3229;6;Comedy
Bring It On;68353550;10000000;98;2000;235;4000;464;229;5270;1;Comedy
Bringing Down the House;132541238;33000000;105;2003;163;1000;409;338;2505;2;Comedy
Brokeback Mountain;83025853;14000000;134;2005;0;15000;13000;11000;39789;0;Drama
Brooklyn Rules;398420;8000000;99;2007;30;480;257;209;1234;3;Drama
Brotherly Love;444044;1900000;89;2015;47;628;606;585;4249;6;Drama
Bucky Larson: Born to Be a Star;2331318;10000000;97;2011;105;982;503;269;2603;1;Comedy
Burlesque;39440655;55000000;119;2010;59;2000;828;676;4315;1;Drama
By the Sea;531009;10000000;122;2015;11000;11000;11000;188;22319;0;Drama
Cadillac Records;8134217;12000000;109;2008;67;436;223;192;1141;3;Drama
Captain America: Civil War;407197282;250000000;147;2016;94;21000;19000;11000;64798;0;Action
Captain America: The First Avenger;176636816;140000000;124;2011;394;11000;3000;2000;19761;0;Action
Captain America: The Winter Soldier;259746958;170000000;136;2014;94;19000;11000;2000;36188;1;Action
Case 39;13248477;27000000;109;2009;22;14000;716;355;15790;1;Terror
Catch Me If You Can;164435221;52000000;141;2002;14000;29000;15000;3000;48153;0;Drama
Catch That Kid;16702864;18000000;91;2004;38;17000;632;362;18711;0;Comedy
Center Stage;17174870;18000000;115;2000;13;757;220;111;1201;2;Drama
Certifiably Jonathan;7826;1200000;85;2007;0;49000;931;924;54484;10;Comedy
Chain Letter;143000;5000000;88;2009;26;487;298;236;1495;0;Terror
Charlie St, Cloud;31136950;44000000;99;2010;23;405;268;135;1066;1;Drama
Chasing Liberty;12189514;23000000;101;2004;3;448;143;120;842;0;Comedy
Chasing Mavericks;6002756;20000000;116;2012;150;18000;1000;956;21200;2;Drama
Cheaper by the Dozen;138614544;40000000;94;2003;189;3000;2000;597;7014;15;Comedy
Chicago;170684505;45000000;113;2002;252;539;151;90;813;0;Comedy
Christmas with the Kranks;73701902;60000000;99;2004;148;2000;843;660;6729;1;Comedy
Cinderella;201148159;95000000;105;2015;0;2000;520;502;4671;1;Drama
Cinderella Man;61644321;88000000;144;2005;2000;680;655;537;2523;0;Drama
City of Ember;7871693;55000000;90;2008;27;13000;2000;260;15494;0;Action
Clash of the Titans;163192114;125000000;106;2010;255;14000;1000;850;18003;0;Action
Clerks II;24138847;5000000;97;2006;0;1000;898;657;2990;3;Comedy
Closer;33987757;27000000;98;2004;0;20000;8000;23;28027;2;Drama
Coach Carter;67253092;30000000;136;2005;49;17000;807;730;20299;0;Drama
College;4693919;6500000;94;2008;0;1000;1000;664;4484;0;Comedy
Come Early Morning;117560;6000000;97;2006;781;596;206;90;1081;0;Drama
Confidence;12212417;15000000;97;2003;164;436;324;308;1172;3;Terror
Connie and Carla;8054280;20000000;108;2004;54;786;567;463;2730;3;Comedy
Copying Beethoven;352786;11000000;104;2006;238;60;35;22;150;0;Drama
Coraline;75280058;60000000;100;2009;253;309;229;57;647;1;Comedy
Corky Romano;23978402;11000000;86;2001;5;584;580;532;3850;1;Comedy
Couples Retreat;109176215;60000000;113;2009;0;4000;722;721;8172;6;Comedy
Courage;2246000;20000000;118;2015;14;2000;769;400;3384;4;Drama
Courageous;34522221;2000000;129;2011;589;690;589;341;2300;7;Drama
Crazy Heart;39462438;7000000;112;2009;108;12000;628;175;13172;0;Drama
Crazy/Beautiful;16929123;14000000;135;2001;134;4000;1000;525;6214;2;Drama
Creed;109712885;35000000;133;2015;0;13000;597;531;15106;1;Drama
Crossover;7009668;5600000;95;2006;17;592;378;255;2000;6;Action
Daddy Day Camp;13235267;6000000;89;2007;0;555;484;405;1752;2;Comedy
Daddy Day Care;104148781;60000000;92;2003;41;1000;955;522;4050;1;Comedy
Daddy's Home;150315155;50000000;96;2015;51;8000;2000;322;10886;2;Comedy
Dallas Buyers Club;27296514;5000000;117;2013;212;11000;3000;896;17738;0;Drama
Darkness;22160085;10600000;103;2002;57;541;451;132;1228;0;Terror
Darkness Falls;32131483;11000000;96;2003;474;1000;970;82;2212;0;Terror
Date Movie;48546578;20000000;85;2006;64;3000;869;729;6539;0;Comedy
Dave Chappelle's Block Party;11694528;3000000;100;2005;1000;989;744;220;2165;0;Comedy
Death at a Funeral;8579684;9000000;87;2007;0;22000;557;548;24324;0;Comedy
Deliver Us from Evil;30523568;30000000;118;2014;301;2000;1000;897;5697;0;Terror
De-Lovely;13337299;20000000;125;2004;34;427;66;65;729;7;Drama
Despicable Me;251501645;69000000;87;2010;275;7000;2000;975;11608;0;Comedy
Deuce Bigalow: European Gigolo;22264487;22000000;83;2005;2;591;489;137;1729;0;Comedy
Devil;33583175;10000000;80;2010;66;2000;904;816;5628;0;Terror
Devil's Due;15818967;7000000;89;2014;14;971;479;270;2517;0;Terror
Diary of a Wimpy Kid;64001297;15000000;94;2010;87;17000;975;569;20154;1;Comedy
Diary of a Wimpy Kid: Dog Days;49002815;22000000;94;2012;42;975;569;517;3153;2;Comedy
Diary of a Wimpy Kid: Rodrick Rules;52691009;21000000;99;2011;42;975;569;557;3567;2;Comedy
Diary of the Dead;952620;2000000;95;2007;0;569;529;192;1797;0;Terror
Dickie Roberts: Former Child Star;22734486;17000000;98;2003;39;593;517;428;2713;1;Comedy
Dirty Grandpa;35537564;11500000;109;2016;11;22000;851;411;24063;1;Comedy
Disaster Movie;14174654;25000000;88;2008;82;869;624;329;2857;0;Comedy
Divine Secrets of the Ya-Ya Sisterhood;69586544;27000000;116;2002;144;1000;482;477;3845;4;Drama
Django Unchained;162804648;100000000;165;2012;16000;29000;11000;265;40978;1;Drama
Do You Believe?;12985267;2300000;120;2015;16;2000;848;835;6752;5;Drama
DOA: Dead or Alive;480314;21000000;87;2006;23;826;816;748;4473;4;Action
Dodgeball: A True Underdog Story;114324072;20000000;92;2004;43;989;939;936;4730;0;Comedy
Dolphin Tale;72279690;37000000;113;2011;188;11000;680;631;14209;5;Drama
Dolphin Tale 2;42019483;36000000;107;2014;188;11000;641;631;13904;0;Drama
Domestic Disturbance;45207112;53000000;89;2001;17;12000;708;303;13390;1;Terror
Don't Be Afraid of the Dark;24042490;25000000;99;2010;24;3000;441;155;3744;1;Terror
Down and Out with the Dolls;58936;1200000;88;2001;0;268;44;3;318;0;Comedy
Down to Earth;64172251;30000000;87;2001;129;979;891;560;2911;1;Comedy
Dr, Dolittle 2;112950721;72000000;87;2001;41;1000;692;574;3287;0;Comedy
Draft Day;28831145;25000000;110;2014;425;3000;466;148;3757;1;Drama
Drag Me to Hell;42057340;30000000;99;2009;0;2000;1000;828;5642;0;Terror
Dreamer: Inspired by a True Story;32701088;32000000;98;2005;61;649;579;83;1400;1;Drama
Dreamgirls;103338338;70000000;130;2006;386;912;549;525;2856;0;Drama
Drive;35054909;15000000;100;2011;0;33000;745;228;34337;0;Drama
Dumb and Dumber To;86208010;35000000;109;2014;101;13000;899;839;16179;1;Comedy
Dumb and Dumberer: When Harry Met Lloyd;26096584;19000000;85;2003;14;577;291;244;1653;0;Comedy
Duplex;9652000;40000000;89;2003;0;1000;627;500;3096;0;Comedy
DysFunktional Family;2223990;3000000;89;2003;269;489;26;24;539;1;Comedy
Earth to Echo;38916903;13000000;91;2014;13;803;587;140;1921;0;Action
Eastern Promises;17114882;25000000;96;2007;0;10000;6000;509;17211;1;Terror
Easy A;58401464;8000000;92;2010;87;15000;1000;424;16982;1;Comedy
Eat Pray Love;80574010;60000000;140;2010;708;11000;8000;745;20440;1;Drama
Edge of Tomorrow;100189501;178000000;113;2014;218;10000;854;509;12652;1;Action
Elf;173381405;33000000;97;2003;4000;22000;11000;8000;43354;1;Comedy
Ella Enchanted;22913677;35000000;96;2004;13;11000;1000;973;17292;1;Comedy
Employee of the Month;28435406;12000000;103;2006;27;1000;809;534;4441;2;Comedy
Enchanted;127706877;85000000;107;2007;36;283;142;118;662;2;Comedy
Ender's Game;61656849;110000000;114;2013;151;11000;635;430;12908;4;Action
Endless Love;23393765;20000000;104;2014;19;15000;989;942;18760;0;Drama
Enemy at the Gates;51396781;68000000;131;2001;218;5000;35;29;5103;1;Drama
Envy;12181484;40000000;99;2004;272;1000;87;62;1189;1;Comedy
Eragon;75030163;100000000;104;2006;14;3000;762;203;4487;0;Action
Erin Brockovich;125548685;52000000;131;2000;0;8000;883;658;10003;0;Drama
EuroTrip;17718223;25000000;93;2004;17;13000;634;360;14180;5;Comedy
Evan Almighty;100289690;175000000;96;2007;293;87000;11000;7000;108016;0;Comedy
Evil Dead;54239856;17000000;96;2013;201;394;150;58;673;0;Terror
Exorcist: The Beginning;41814863;50000000;125;2004;212;613;422;394;1970;0;Terror
Extract;10814185;8000000;92;2009;406;24000;15000;968;41867;6;Comedy
Extraordinary Measures;11854694;31000000;106;2010;12;11000;3000;946;17560;2;Drama
Factory Girl;1654367;7000000;99;2006;60;4000;787;628;6526;0;Drama
Fahrenheit 9/11;119078393;6000000;122;2004;909;503;328;282;1448;0;Drama
Failure to Launch;88658172;50000000;95;2006;9;14000;11000;11000;37967;2;Comedy
Falcon Rising;8691;4500000;103;2014;249;2000;298;261;3089;1;Action
Fantastic Four;56114221;120000000;100;2015;128;596;360;78;1261;3;Action
Far from Heaven;15854988;13500000;107;2002;162;2000;258;135;2447;2;Drama
Fat Albert;48114556;26000000;93;2004;38;1000;641;631;4604;1;Comedy
Fifty Shades of Black;11675178;5000000;92;2016;89;729;706;355;2848;4;Comedy
Fifty Shades of Grey;166147885;40000000;129;2015;456;1000;935;716;4585;0;Drama
Filly Brown;2833383;427000;80;2012;8;2000;245;183;2459;1;Drama
Final Destination;53302314;23000000;98;2000;70;1000;847;591;3345;1;Terror
Final Destination 2;46455802;26000000;90;2003;160;748;439;392;3172;0;Terror
Final Destination 5;42575718;40000000;92;2011;77;703;682;495;3074;0;Terror
Finding Forrester;51768623;43000000;136;2000;835;670;370;225;1801;1;Drama
Finding Neverland;51676606;25000000;101;2004;395;40000;14000;2000;58823;1;Drama
Finishing the Game: The Search for a New Bruce Lee;52850;500000;84;2007;681;239;172;143;734;0;Comedy
Fireproof;33451479;500000;122;2008;589;848;153;150;1164;0;Drama
Firewall;48745150;50000000;105;2006;12;87000;11000;935;101383;1;Terror
Flags of Our Fathers;33574332;90000000;135;2006;16000;23000;638;310;24468;0;Drama
Flash of Genius;4234040;20000000;119;2008;18;20;18;9;64;0;Drama
"For a Good Time; Call,,,";1243961;850000;88;2012;15;938;904;567;3770;0;Comedy
For Your Consideration;5542025;12000000;86;2006;378;957;925;783;3535;0;Comedy
Fort McCoy;73678;3000000;100;2011;27;1000;902;847;4374;1;Drama
Freaky Friday;110222438;26000000;97;2003;70;2000;528;512;3984;2;Comedy
Freddy Got Fingered;14249005;15000000;87;2001;374;826;503;484;2689;1;Comedy
Freeheld;532988;7000000;103;2015;6;7000;1000;935;9660;0;Drama
Frida;25776062;12000000;123;2002;278;4000;1000;898;7072;0;Drama
Friends with Benefits;55802754;35000000;109;2011;87;15000;3000;923;20956;2;Comedy
From Hell;31598308;35000000;122;2001;117;40000;1000;140;41636;1;Terror
From Justin to Kelly;4922166;12000000;90;2003;7;525;281;251;1445;2;Comedy
Frost/Nixon;18593156;35000000;122;2008;2000;2000;1000;1000;6161;1;Drama
Frozen River;2508841;1000000;97;2008;33;496;238;229;994;1;Drama
Fruitvale Station;16097842;900000;85;2013;0;282;270;88;687;0;Drama
Full Frontal;2506446;2000000;101;2002;0;8000;724;685;11327;0;Comedy
Fun with Dick and Jane;110332737;100000000;90;2005;23;957;550;233;1997;1;Comedy
Fur: An Imaginary Portrait of Diane Arbus;220914;16800000;122;2006;30;21000;3000;260;25173;2;Drama
Furry Vengeance;17596256;35000000;92;2010;16;3000;1000;734;6327;1;Comedy
Gangs of New York;77679638;100000000;216;2002;17000;29000;14000;1000;47657;3;Drama
Garfield;75367693;35000000;80;2004;12;13000;258;58;13430;0;Comedy
Get Hard;90353764;40000000;107;2015;164;8000;2000;723;12556;2;Comedy
Get on Up;30513940;30000000;139;2014;150;521;491;400;2060;0;Drama
Get Over It;11560259;22000000;87;2001;13;15000;4000;869;22485;1;Comedy
Get Rich or Die Tryin';30981850;40000000;117;2005;260;1000;1000;441;3969;0;Drama
Ghost Ship;30079316;35000000;91;2002;17;534;385;78;1083;0;Terror
Gigli;5660084;54000000;121;2003;102;117;62;43;286;0;Comedy
Glitter;4273372;22000000;104;2001;170;736;218;202;1854;1;Drama
Go for It!;178739;2450000;105;2011;29;847;618;76;1668;0;Drama
Goal! The Dream Begins;4280577;10000000;118;2005;41;722;580;577;2859;0;Drama
Gods and Generals;12870569;56000000;280;2003;33;789;640;67;1671;0;Drama
God's Not Dead 2;20773070;5000000;120;2016;18;634;420;295;1810;11;Drama
Gods of Egypt;31141074;140000000;126;2016;295;18000;934;284;19769;4;Action
Going the Distance;17797316;32000000;102;2010;8;839;730;472;2961;0;Comedy
Good Luck Chuck;35000629;25000000;101;2007;7;1000;562;440;2822;1;Comedy
"Good Night; and Good Luck,";31501218;7500000;93;2005;0;21000;650;566;22745;0;Drama
Gothika;59588068;40000000;98;2003;326;21000;534;416;22318;1;Terror
Gracie;2955039;9000000;95;2007;49;702;616;261;2007;1;Drama
Gran Torino;148085755;33000000;116;2008;16000;16000;601;198;17347;0;Drama
Green Lantern;116593191;200000000;123;2011;258;16000;368;326;17657;2;Action
Green Room;3219029;5000000;95;2015;57;727;442;233;1836;0;Terror
Gridiron Gang;38432823;30000000;125;2006;21;12000;2000;581;15811;1;Drama
Groove;1114943;500000;86;2000;7;328;27;17;407;0;Drama
Grown Ups;162001186;80000000;102;2010;221;12000;11000;4000;28497;4;Comedy
Grown Ups 2;133668525;80000000;101;2013;221;12000;11000;11000;39269;4;Comedy
Grudge Match;29802761;40000000;113;2013;88;22000;13000;785;36009;1;Comedy
Guardians of the Galaxy;333130696;170000000;121;2014;571;14000;14000;3000;32438;3;Action
Guess Who;67962333;35000000;105;2005;8;1000;358;278;2689;2;Comedy
Gun Shy;1631839;10000000;101;2000;3;14000;1000;826;17665;0;Comedy
Half Nelson;2694973;700000;106;2006;31;33000;519;71;33734;2;Drama
Hall Pass;45045037;36000000;111;2011;101;966;919;681;3393;3;Comedy
Halloween II;33386128;15000000;119;2009;0;908;764;593;3226;0;Terror
Hamlet 2;4881867;9000000;92;2008;26;1000;1000;611;3767;1;Comedy
Happy Feet;197992827;100000000;108;2006;750;49000;20000;971;70996;0;Comedy
Hardball;40219708;21000000;106;2001;48;18000;558;39;18630;3;Drama
Hart's War;19076815;60000000;125;2002;40;13000;787;407;15916;0;Drama
Head of State;37788228;35200000;95;2003;0;1000;812;642;4537;1;Comedy
Heartbreakers;40334024;35000000;123;2001;7;931;754;692;2912;3;Comedy
Heaven Is for Real;91443253;12000000;99;2014;130;399;116;79;663;0;Drama
Hercules;72660029;100000000;101;2014;420;12000;3000;467;16235;0;Action
Here on Earth;10494147;15000000;96;2000;4;989;841;670;3142;1;Drama
Hereafter;32741596;50000000;129;2010;16000;13000;563;447;14344;0;Drama
Hesher;382946;7000000;106;2010;58;23000;20000;973;44969;0;Drama
Hidalgo;67286731;100000000;136;2004;394;24000;10000;1000;36925;1;Action
Highlander: Endgame;12801190;15000000;101;2000;36;1000;786;377;2764;1;Action
Hitch;177575142;70000000;118;2005;72;10000;975;681;13426;1;Comedy
Hollywood Ending;4839383;16000000;112;2002;11000;11000;650;642;12766;0;Comedy
Home on the Range;50026353;110000000;76;2004;6;12000;513;421;13607;0;Comedy
Home Run;2859955;1200000;113;2013;29;890;848;449;2681;2;Drama
Honey;30222640;25000000;94;2003;23;2000;1000;582;4868;2;Drama
Hoodwinked Too! Hood vs, Evil;10134754;30000000;86;2011;6;1000;857;843;5393;0;Comedy
Horrible Bosses;117528646;35000000;106;2011;91;18000;464;64;18669;5;Comedy
Horrible Bosses 2;54414716;42000000;116;2014;51;18000;11000;465;30571;7;Comedy
Hostel;47277326;4800000;93;2005;0;1000;1000;581;2990;0;Terror
Hostel: Part II;17544812;10000000;94;2007;0;1000;683;658;4707;0;Terror
Hotel for Dogs;73023275;35000000;100;2009;87;3000;576;446;5174;4;Comedy
Hotel Transylvania;148313048;85000000;91;2012;266;12000;11000;11000;37142;2;Comedy
Hotel Transylvania 2;169692572;80000000;89;2015;266;12000;11000;859;26839;0;Comedy
House of 1000 Corpses;12583510;7000000;105;2003;0;1000;340;303;2444;0;Terror
House of Sand and Fog;13005485;15000000;126;2003;26;638;624;385;2282;0;Drama
How High;31155435;12000000;93;2001;58;995;729;722;6105;2;Comedy
How the Grinch Stole Christmas;260031035;123000000;110;2000;2000;1000;722;636;4146;0;Comedy
How to Be Single;46813366;38000000;110;2016;11;2000;756;591;4882;4;Comedy
How to Lose a Guy in 10 Days;105807520;50000000;116;2003;80;11000;1000;651;14087;2;Comedy
Hulk;132122995;137000000;138;2003;0;820;300;258;1814;0;Action
Hustle & Flow;22201636;8000000;116;2005;153;275;247;165;727;1;Drama
I Am Sam;40270895;22000000;132;2001;24;967;912;506;3152;0;Drama
I Don't Know How She Does It;9639242;24000000;89;2011;41;2000;1000;847;5470;0;Comedy
I Heart Huckabees;12784713;22000000;107;2004;737;6000;718;678;8094;11;Comedy
"I Love You; Man";71347010;40000000;105;2009;29;24000;4000;257;28928;2;Comedy
I Spit on Your Grave;92401;2000000;105;2010;68;635;445;374;2423;0;Terror
I Want Someone to Eat Cheese With;194568;1500000;80;2006;522;813;522;423;2179;0;Comedy
Identity;51475962;30000000;91;2003;446;1000;872;660;3969;0;Terror
Identity Thief;134455175;35000000;120;2013;91;4000;904;680;5826;2;Comedy
Idlewild;12549485;15000000;121;2006;16;907;585;526;3633;4;Drama
If I Stay;50461335;11000000;107;2014;15;17000;1000;602;20466;3;Drama
I'm Not There,;4001121;20000000;135;2007;162;23000;13000;228;36398;0;Drama
